Genes;Aliases_found
PTGR3;PTGR3, PRG-3, PTGR-3, ZADH2
PRUNE1;PRUNE1, DRES-17, DRES17, H-PRUNE, HTCD37, NMIHBA, PRUNE
GUCY1A1;GUCY1A1, GC-S-alpha-1, GC-SA3, GCS-alpha-3, GUC1A3, GUCA3, GUCSA3, GUCY1A3, MYMY6
GUCY1B1;GUCY1B1, GC-S-beta-1, GC-SB3, GUC1B3, GUCB3, GUCSB3, GUCY1B3
ADSS1;ADSS1, ADSSL1, MPD5
ADSS2;ADSS2, ADEH, ADSS, ADSS_2
ADA2;ADARB1, ADAR2, DRABA2, DRADA2, NEDHYMS, RED1
KYAT3;KYAT3, CCBL2, KAT3, KATIII
KYAT1;KYAT1-SPOUT1
NSD2;NSD2, KMT3F, KMT3G, MMSET, RAUST, REIIBP, TRX5, WHS, WHSC1
NSD3;NSD3, KMT3F, KMT3G, WHISTLE, WHSC1L1, pp14328
KMT5A;KMT5A, PR-Set7, PR/SET07, SET07, SET8, SETD8
KMT5C;KMT5C, SUV420H2, Suv4-20h2
KMT5B;KMT5B, CGI-85, CGI85, MRD51, SUV420H1
PYCR3;PYCR3, PYCRL
CARNMT1;CARNMT1, C9orf41, UPF0586
MARS1;MARS1, CMT2U, ILFS2, ILLD, MARS, METRS, MRS, MTRNS, SPG70, TTD9
DGLUCY;DGLUCY, C14orf159
GSTT1;GSTT1
GSTT4;GSTT4, GSTTP1, HS322B1A
ALPG;ALPG, ALPPL, ALPPL2, GCAP
DHFR2;DHFR2, DHFRL1, DHFRP4
EPRS1;EPRS1, EARS, EPRS, GLUPRORS, HLD15, PARS, PIG32, QARS, QPRS
